title,year,duration,rating
7. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,8.1 (1.2M)
8. Rush,2013,2h 3m,8.1 (511K)
9. Network,1976,2h 1m,8.1 (170K)
0. Stand by Me,1986,1h 29m,8.1 (440K)
1. The Wizard of Oz,1939,1h 42m,8.1 (427K)
2. The Incredibles,2004,1h 55m,8.0 (805K)
3. Hachi: A Dog's Tale,2009,1h 33m,8.1 (310K)
4. My Father and My Son,2005,1h 52m,8.2 (92K)
5. The Handmaiden,2016,2h 25m,8.1 (171K)
6. Into the Wild,2007,2h 28m,8.1 (656K)
7. The Sound of Music,1965,2h 52m,8.1 (260K)
8. The Battle of Algiers,1966,2h 1m,8.1 (65K)
9. The Grapes of Wrath,1940,2h 9m,8.1 (100K)
0. To Be or Not to Be,1942,1h 39m,8.1 (43K)
1. Groundhog Day,1993,1h 41m,8.0 (682K)
2. Amores Perros,2000,2h 34m,8.1 (252K)
3. Rebecca,1940,2h 10m,8.1 (146K)
4. Cool Hand Luke,1967,2h 7m,8.1 (188K)
5. The Iron Giant,1999,1h 26m,8.1 (226K)
6. The Help,2011,2h 26m,8.1 (491K)
7. It Happened One Night,1934,1h 45m,8.1 (112K)
8. Aladdin,1992,1h 30m,8.0 (464K)
9. Dances with Wolves,1990,3h 1m,8.0 (289K)
"0. Paris, Texas",1984,2h 25m,8.1 (118K)
